,ddtime,dutime,ftime,key,kftime,time,uutime
533,116.0,195.0,40.0,65,119,79,119.0
534,129.0,219.0,50.0,82,140,90,140.0
535,89.0,153.0,0.0,69,64,64,63.0
536,43.0,118.0,0.0,32,75,75,54.0
537,164.0,419.0,89.0,65,344,255,344.0
538,164.0,283.0,0.0,32,119,119,28.0
539,104.0,147.0,0.0,83,43,43,28.0
540,365.0,408.0,322.0,8,365,43,365.0
541,98.0,165.0,55.0,8,122,67,122.0
542,88.0,186.0,21.0,83,119,98,119.0
543,130.0,221.0,32.0,32,123,91,123.0
544,167.0,266.0,76.0,67,175,99,175.0
545,157.0,256.0,58.0,72,157,99,157.0
546,128.0,224.0,29.0,65,125,96,125.0
547,121.0,220.0,25.0,82,124,99,124.0
548,114.0,203.0,15.0,77,104,89,104.0
549,203.0,266.0,114.0,73,177,63,177.0
550,147.0,218.0,84.0,78,155,71,155.0
551,85.0,156.0,14.0,71,85,71,85.0
552,67.0,154.0,0.0,32,87,87,83.0
553,132.0,287.0,45.0,65,200,155,200.0
554,88.0,203.0,0.0,83,115,115,48.0
555,84.0,171.0,0.0,32,87,87,56.0
556,481.0,616.0,394.0,83,529,135,529.0
557,225.0,312.0,90.0,85,177,87,177.0
558,184.0,255.0,97.0,66,168,71,168.0
559,133.0,216.0,62.0,72,145,83,145.0
560,102.0,175.0,19.0,65,92,73,92.0
561,261.0,371.0,188.0,83,298,110,298.0
562,167.0,230.0,57.0,72,120,63,120.0
563,142.0,217.0,79.0,32,154,75,154.0
564,332.0,431.0,257.0,67,356,99,356.0
565,155.0,243.0,56.0,72,144,88,144.0
566,84.0,175.0,0.0,65,91,91,87.0
567,115.0,199.0,24.0,78,108,84,108.0
568,113.0,187.0,29.0,68,103,74,103.0
569,172.0,227.0,98.0,82,153,55,153.0
570,115.0,217.0,60.0,65,162,102,162.0
571,80.0,163.0,0.0,32,83,83,61.0
572,328.0,411.0,245.0,66,328,83,328.0
573,146.0,241.0,63.0,79,158,95,158.0
574,96.0,178.0,1.0,83,83,82,83.0
